"","Tree.ID","X.1","X","sp.x","dbh.2","jd","notes","type","X0","X1","X2","X7","X10","npp"
"1",10274,1,1,"tsugca",13.81,184,"","coniferous",0,0,0,1,0,-7.91579714165143e-05
"3",10441,3,3,"tsugca",40.8,186,"","coniferous",0,0,1,1,0,0.000337059089359588
"4",10443,4,4,"tsugca",21.29,186,"","coniferous",0,0,0,3,0,3.78354215258077e-05
"5",10453,5,5,"pinust",68.79,186,"","coniferous",1,0,0,4,0,0.00520980041787465
"7",10470,7,7,"tsugca",33.69,186,"","coniferous",0,0,0,1,0,0.000471240291594239
"8",10476,8,8,"pinust",62.65,186,"","coniferous",0,0,1,5,0,0.00732314235321282
"12",10559,13,13,"pinust",56.28,193,"","coniferous",0,0,0,3,0,0.00259246361565682
"13",10560,14,14,"tsugca",28.08,193,"","coniferous",0,0,0,1,0,0.000251860910019732
"14",10587,17,17,"tsugca",23.09,193,"","coniferous",0,0,0,1,0,6.43597397546698e-05
"16",10601,19,19,"tsugca",32.63,197,"","coniferous",1,0,0,1,0,0.000396156428827813
"19",10677,22,22,"pinust",70.61,197,"","coniferous",0,0,0,1,0,0.00355954328320129
"20",10686,23,23,"pinust",56.71,197,"","coniferous",0,0,0,1,0,0.00439795351258671
"23",20121,26,47,"tsugca",49.02,184,"","coniferous",0,0,0,2,0,0.00158079364224646
"24",20208,27,48,"tsugca",37.32,184,"","coniferous",0,0,0,2,0,0.000596659835293577
"25",20256,28,49,"tsugca",43.22,184,"","coniferous",0,0,0,3,0,0.000832161802583949
"26",20289,29,50,"tsugca",11.96,184,"","coniferous",0,0,0,1,0,9.08115495806138e-05
"29",20479,32,53,"tsugca",41.2,186,"","coniferous",0,0,0,1,0,0.000954947161454981
"32",20574,35,56,"pinust",67.62,193,"","coniferous",0,0,1,0,0,0.00477170165609824
"33",20782,36,57,"tsugca",45.63,197,"","coniferous",0,0,0,1,0,0.000242530419063445
"34",20841,37,58,"pinust",57.68,197,"","coniferous",0,0,0,1,0,0.00170696075448635
"38",20994,41,62,"pinust",22.39,199,"","coniferous",1,0,1,0,0,0.000359861846364599
"39",30017,42,85,"tsugca",28.27,184,"","coniferous",0,0,0,1,0,0.00277588942904586
"40",30094,43,86,"tsugca",12.54,184,"","coniferous",0,0,0,2,0,2.30280279123646e-05
"41",30145,44,87,"tsugca",13,184,"","coniferous",0,0,0,1,0,0.000114908447612667
"42",30376,45,88,"acerru",10.77,184,"","deciduous",0,0,0,1,0,0.00140034573129254
"43",30419,46,89,"querru",32.95,190,"","deciduous",1,0,0,1,0,0.0572904703846818
"45",30698,48,91,"tsugca",46.68,186,"","coniferous",0,0,0,2,0,0.00112605860795137
"49",30822,52,95,"tsugca",44.89,193,"","coniferous",0,0,0,1,0,0.000861400977976441
"53",30944,56,99,"tsugca",28.69,193,"","coniferous",0,0,0,0,1,0.000291145975743112
"54",30990,57,100,"tsugca",38.25,193,"","coniferous",2,0,0,0,0,0.000587769306293949
"55",30995,58,101,"tsugca",22.13,193,"","coniferous",0,0,0,1,0,0.000190834518215872
"57",31016,60,103,"tsugca",39.79,197,"","coniferous",0,0,0,2,0,0.000412635332545925
"59",31025,62,105,"pinust",53.74,197,"","coniferous",0,0,0,1,0,0.00525435518542774
"60",31032,63,106,"pinust",60.59,197,"","coniferous",0,0,0,1,0,0.00470790644094707
"61",31134,64,107,"pinust",54.7,199,"","coniferous",0,0,0,1,0,0.00630411084002689
"62",40005,65,122,"pinust",49.52,184,"","coniferous",0,0,0,3,0,0.00654697366426264
"63",40166,66,123,"pinust",17.49,184,"dead","coniferous",0,0,0,1,0,4.41877435039624e-05
"64",40170,67,124,"pinust",26.72,184,"","coniferous",1,0,0,3,0,0.000230508586453231
"65",40176,68,125,"acerru",30.71,184,"","deciduous",0,0,0,1,0,0.0552470504111112
"66",40178,69,126,"pinust",31.22,184,"","coniferous",1,0,0,1,0,0.000836732032776863
"69",40651,72,129,"tsugca",49.97,190,"","coniferous",0,0,0,2,0,0.000925848521047174
"71",40694,74,131,"tsugca",10.41,194,"dead","coniferous",0,0,0,1,0,2.28963743021542e-05
"72",40710,75,132,"tsugca",47.4,194,"","coniferous",0,0,0,1,0,0.00160724596614766
"73",40746,76,133,"tsugca",30.4,194,"","coniferous",0,0,0,1,0,0.000192934814256726
"77",40854,80,137,"pinust",43.29,199,"","coniferous",0,0,0,1,0,0.00375118143287208
"79",40880,82,139,"tsugca",47.59,199,"","coniferous",0,0,0,1,0,0.0012191117084215
"81",40905,84,141,"tsugca",15.13,199,"","coniferous",0,0,0,1,0,6.50053706898802e-05
"86",40923,89,146,"pinust",60.32,199,"","coniferous",0,0,1,0,0,0.00279917879478802
"87",40946,90,147,"pinust",51.33,199,"","coniferous",0,0,0,1,0,0.00321730250894008
"90",50135,93,172,"tsugca",46.79,184,"","coniferous",0,0,0,3,0,0.000343632897318858
"91",50189,94,173,"acerru",12.46,184,"","deciduous",0,0,0,1,0,0.0153110562050738
"92",50269,95,174,"tsugca",24.2,184,"","coniferous",0,0,0,1,0,0.000321037286868768
"93",50409,96,176,"acerru",26.54,190,"","deciduous",0,0,0,6,0,0.045987136202249
"94",50617,97,177,"tsugca",36.33,190,"","coniferous",0,0,0,1,0,0.000299367827957019
"95",50666,98,178,"tsugca",36.83,190,"","coniferous",0,0,0,1,0,0.000509218394221647
"96",50706,99,179,"tsugca",41.28,190,"","coniferous",0,0,0,3,0,0.000714821679812959
"97",50755,100,180,"tsugca",36.8,194,"","coniferous",0,0,0,5,0,0.00012623930774314
"98",50791,101,181,"pinust",39.06,194,"","coniferous",0,0,0,1,0,0.00210753503355054
"101",50856,104,184,"pinust",60.12,200,"","coniferous",0,0,0,2,0,0.00469370193878652
"102",50921,105,185,"pinust",56.45,200,"","coniferous",0,0,1,1,0,0.00376444560640385
"104",50988,107,187,"acerru",30,200,"","deciduous",0,0,0,1,0,0.129343751728171
"105",60087,108,201,"querru",24.87,184,"","deciduous",1,0,0,2,0,0.0507033098098705
"106",60161,109,202,"querru",12.13,184,"","deciduous",1,0,0,1,0,-0.027233723156235
"107",60183,110,203,"acerru",15.45,184,"dead","deciduous",0,0,0,5,0,0.030608154445526
"108",60224,111,204,"pinust",11.33,184,"","coniferous",0,0,0,1,0,3.60154806291677e-06
"110",60828,113,206,"tsugca",46.99,194,"dead","coniferous",0,0,0,3,0,0.00091792764778395
"111",60880,114,207,"pinust",61.37,194,"","coniferous",0,0,0,3,0,0.00810667158967281
"112",60967,115,208,"pinust",54.21,200,"","coniferous",0,0,0,1,1,0.00735768495529618
"114",61080,117,210,"tsugca",35.42,200,"","coniferous",0,0,0,1,0,0.000516708889849386
"115",70376,118,237,"acerru",26.35,190,"","deciduous",0,0,0,3,0,0.0407633525655764
"116",70379,119,238,"acerru",15.18,190,"","deciduous",0,0,0,2,0,0.00742855275615462
"117",70486,120,239,"acerru",23.53,190,"","deciduous",0,0,0,1,0,0.0387462528704052
"118",70494,121,240,"pinust",23.93,190,"","coniferous",0,0,0,1,0,0.000754500516259437
"120",70526,123,242,"pinust",24.09,190,"dead","coniferous",0,0,0,2,0,0.000295534156761324
"121",70534,124,243,"pinust",28.26,190,"","coniferous",0,0,0,2,0,0.000270506590213707
"122",70550,125,244,"tsugca",14.69,190,"","coniferous",0,0,0,2,0,0.000257025279602569
"123",70644,126,245,"acerru",20,192,"","deciduous",0,0,0,3,0,0.0253206743781243
"124",70672,127,246,"tsugca",22.06,193,"","coniferous",0,0,0,1,0,0.000115742369288054
"125",70677,128,247,"pinust",10.87,193,"","coniferous",0,0,0,2,0,-0.000248499654152839
"127",70762,130,249,"tsugca",31.69,192,"","coniferous",0,0,0,2,0,0.000432715085113375
"131",70947,135,254,"tsugca",43.53,200,"","coniferous",0,0,0,1,0,0.000996368461248655
"132",70981,136,255,"tsugca",22.93,200,"","coniferous",0,0,0,3,0,0.000200525542494568
"135",80465,139,286,"tsugca",11.34,191,"","coniferous",0,0,0,2,0,-5.10253681163995e-06
"136",80570,140,287,"tsugca",26.12,191,"","coniferous",0,0,0,1,0,3.16902983366263e-05
"137",80571,141,288,"pinust",48.1,191,"dead","coniferous",0,0,0,1,0,0.00445581189573682
"138",80572,142,289,"tsugca",19,191,"","coniferous",0,0,0,3,0,0.000303878470608188
"139",80580,143,290,"pinust",60.02,191,"","coniferous",0,0,0,2,0,0.00351757364073753
"141",80636,145,292,"acerru",39.69,193,"","deciduous",0,0,0,1,0,0.0136158402101111
"143",80663,147,294,"acerru",24.77,193,"","deciduous",0,0,0,5,0,0.0855606063365018
"145",80685,149,296,"pinust",28.11,193,"","coniferous",0,0,0,4,0,0.0013868752744612
"147",80789,151,298,"tsugca",27.01,200,"","coniferous",0,0,0,1,0,8.5297678046172e-05
"148",80802,152,299,"tsugca",22.14,200,"","coniferous",1,0,0,2,0,7.11103554132853e-05
"149",80892,153,300,"pinust",41.27,200,"","coniferous",0,0,0,1,0,0.00308194454838901
"152",80936,156,303,"tsugca",39.12,200,"","coniferous",0,0,0,1,0,0.000371822680784726
"153",80953,157,304,"tsugca",25.12,200,"","coniferous",0,0,0,1,0,0.000153100958377857
"154",80990,158,305,"tsugca",36.37,200,"","coniferous",0,0,0,2,0,0.000673718579302717
