"","X.3","X.2","stem.tag","X.1","X","sp.x.x.x","type.x","gx","npp.x","X0","X1","X2","X7","X10","shannon.fun","shannon.fun_tuk","npp_tuk.x","sp.x.x.y","type.y","npp.y","alienus","americana","fulva","herculeanus","impar","longispinosis","nearcticus","neogagates","novaeboracensis","noveboracensis","pennsylvanicus","picea","punctiventris","shannon","shannon.sp_tuk","npp_tuk.y","hill.sp","hill.fun","abundance.sp","sp.log","fun.log","npp.log"
"1",1,1,10274,1,1,"tsugca","coniferous",15.3087,-7.91579714165143e-05,0,0,0,1,0,1,1,-7.91579714165143e-05,"tsugca","coniferous",-7.91579714165143e-05,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,-7.91579714165143e-05,1,1,1,0,0,NA
"2",2,2,10441,2,2,"tsugca","coniferous",16.0023,0.000337059089359588,0,0,2,2,0,2,1.14869835499704,0.000337059089359588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,0.301029995663981,0.301029995663981,NA
"3",3,3,10443,3,3,"tsugca","coniferous",17.9757,3.78354215258077e-05,0,0,0,9,0,1,1,3.78354215258077e-05,"tsugca","coniferous",3.78354215258077e-05,0,0,6,0,0,0,0,0,0,0,0,3,0,1.88988157484231,1.22981912373371,3.78354215258077e-05,2,1,3,0.477121254719662,0,-4.42210142317884
"4",4,4,10470,4,4,"tsugca","coniferous",3.38232,0.000471240291594239,0,0,0,1,0,1,1,0.000471240291594239,"tsugca","coniferous",0.000471240291594239,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.000471240291594239,1,1,1,0,0,-3.32675758394898
"5",5,5,10476,5,5,"pinust","coniferous",9.10631,0.00732314235321282,0,0,6,30,0,1.5691925832142,1.09429710265965,0.00732314235321282,"pinust","coniferous",0.00732314235321282,0,0,0,0,0,0,0,0,0,0,6,30,0,1.5691925832142,1.15769665963744,0.00732314235321282,2,2,6,0.778151250383644,0.301029995663981,-2.1353025236108
"6",6,6,10559,6,6,"pinust","coniferous",10.8421,0.00259246361565682,0,0,0,9,0,1,1,0.00259246361565682,"pinust","coniferous",0.00259246361565682,0,0,6,0,0,0,0,0,0,0,0,3,0,1.88988157484231,1.22981912373371,0.00259246361565682,2,1,3,0.477121254719662,0,-2.58628733007117
"7",7,7,10560,7,7,"tsugca","coniferous",12.4725,0.000251860910019732,0,0,0,1,0,1,1,0.000251860910019732,"tsugca","coniferous",0.000251860910019732,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.000251860910019732,1,1,1,0,0,-3.59883923178764
"8",8,8,10587,8,8,"tsugca","coniferous",6.12694,6.43597397546698e-05,0,0,0,1,0,1,1,6.43597397546698e-05,"tsugca","coniferous",6.43597397546698e-05,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,6.43597397546698e-05,1,1,1,0,0,-4.19138572068456
"9",9,9,10601,9,9,"tsugca","coniferous",1.79692,0.000396156428827813,2,0,0,2,0,2,1.14869835499704,0.000396156428827813,"tsugca","coniferous",0.000396156428827813,0,0,0,0,0,2,0,0,0,0,0,2,0,2,1.25266443862413,0.000396156428827813,2,2,2,0.301029995663981,0.301029995663981,-3.40213329194795
"10",10,10,10677,10,10,"pinust","coniferous",19.8446,0.00355954328320129,0,0,0,1,0,1,1,0.00355954328320129,"pinust","coniferous",0.00355954328320129,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.00355954328320129,1,1,1,0,0,-2.44860572177707
"11",11,11,10686,11,11,"pinust","coniferous",6.17303,0.00439795351258671,0,0,0,1,0,1,1,0.00439795351258671,"pinust","coniferous",0.00439795351258671,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.00439795351258671,1,1,1,0,0,-2.3567493655468
