"","stem.tag","X.1","X","sp.x","dbh.2","jd","notes","type","0","1","2","7","10"
"1",10274,1,1,"tsugca",13.81,184,"","coniferous",0,0,0,1,0
"2",10441,3,3,"tsugca",40.8,186,"","coniferous",0,0,1,1,0
"3",10443,4,4,"tsugca",21.29,186,"","coniferous",0,0,0,3,0
"4",10453,5,5,"pinust",68.79,186,"","coniferous",1,0,0,4,0
"5",10470,7,7,"tsugca",33.69,186,"","coniferous",0,0,0,1,0
"6",10476,8,8,"pinust",62.65,186,"","coniferous",0,0,1,5,0
"7",10559,13,13,"pinust",56.28,193,"","coniferous",0,0,0,3,0
"8",10560,14,14,"tsugca",28.08,193,"","coniferous",0,0,0,1,0
"9",10587,17,17,"tsugca",23.09,193,"","coniferous",0,0,0,1,0
"10",10601,19,19,"tsugca",32.63,197,"","coniferous",1,0,0,1,0
"11",10677,22,22,"pinust",70.61,197,"","coniferous",0,0,0,1,0
"12",10686,23,23,"pinust",56.71,197,"","coniferous",0,0,0,1,0
"13",20121,26,47,"tsugca",49.02,184,"","coniferous",0,0,0,2,0
"14",20208,27,48,"tsugca",37.32,184,"","coniferous",0,0,0,2,0
"15",20256,28,49,"tsugca",43.22,184,"","coniferous",0,0,0,3,0
"16",20289,29,50,"tsugca",11.96,184,"","coniferous",0,0,0,1,0
"17",20479,32,53,"tsugca",41.2,186,"","coniferous",0,0,0,1,0
"18",20574,35,56,"pinust",67.62,193,"","coniferous",0,0,1,0,0
"19",20782,36,57,"tsugca",45.63,197,"","coniferous",0,0,0,1,0
"20",20841,37,58,"pinust",57.68,197,"","coniferous",0,0,0,1,0
"21",20994,41,62,"pinust",22.39,199,"","coniferous",1,0,1,0,0
"22",30017,42,85,"tsugca",28.27,184,"","coniferous",0,0,0,1,0
"23",30094,43,86,"tsugca",12.54,184,"","coniferous",0,0,0,2,0
"24",30145,44,87,"tsugca",13,184,"","coniferous",0,0,0,1,0
"25",30376,45,88,"acerru",10.77,184,"","deciduous",0,0,0,1,0
"26",30419,46,89,"querru",32.95,190,"","deciduous",1,0,0,1,0
"27",30698,48,91,"tsugca",46.68,186,"","coniferous",0,0,0,2,0
"28",30822,52,95,"tsugca",44.89,193,"","coniferous",0,0,0,1,0
"29",30944,56,99,"tsugca",28.69,193,"","coniferous",0,0,0,0,1
"30",30990,57,100,"tsugca",38.25,193,"","coniferous",2,0,0,0,0
"31",30995,58,101,"tsugca",22.13,193,"","coniferous",0,0,0,1,0
"32",31016,60,103,"tsugca",39.79,197,"","coniferous",0,0,0,2,0
"33",31025,62,105,"pinust",53.74,197,"","coniferous",0,0,0,1,0
"34",31032,63,106,"pinust",60.59,197,"","coniferous",0,0,0,1,0
"35",31134,64,107,"pinust",54.7,199,"","coniferous",0,0,0,1,0
"36",40005,65,122,"pinust",49.52,184,"","coniferous",0,0,0,3,0
"37",40166,66,123,"pinust",17.49,184,"dead","coniferous",0,0,0,1,0
"38",40170,67,124,"pinust",26.72,184,"","coniferous",1,0,0,3,0
"39",40176,68,125,"acerru",30.71,184,"","deciduous",0,0,0,1,0
"40",40178,69,126,"pinust",31.22,184,"","coniferous",1,0,0,1,0
"41",40651,72,129,"tsugca",49.97,190,"","coniferous",0,0,0,2,0
"42",40694,74,131,"tsugca",10.41,194,"dead","coniferous",0,0,0,1,0
"43",40710,75,132,"tsugca",47.4,194,"","coniferous",0,0,0,1,0
"44",40746,76,133,"tsugca",30.4,194,"","coniferous",0,0,0,1,0
"45",40854,80,137,"pinust",43.29,199,"","coniferous",0,0,0,1,0
"46",40880,82,139,"tsugca",47.59,199,"","coniferous",0,0,0,1,0
"47",40905,84,141,"tsugca",15.13,199,"","coniferous",0,0,0,1,0
"48",40923,89,146,"pinust",60.32,199,"","coniferous",0,0,1,0,0
"49",40946,90,147,"pinust",51.33,199,"","coniferous",0,0,0,1,0
"50",50135,93,172,"tsugca",46.79,184,"","coniferous",0,0,0,3,0
"51",50189,94,173,"acerru",12.46,184,"","deciduous",0,0,0,1,0
"52",50269,95,174,"tsugca",24.2,184,"","coniferous",0,0,0,1,0
"53",50409,96,176,"acerru",26.54,190,"","deciduous",0,0,0,6,0
"54",50617,97,177,"tsugca",36.33,190,"","coniferous",0,0,0,1,0
"55",50666,98,178,"tsugca",36.83,190,"","coniferous",0,0,0,1,0
"56",50706,99,179,"tsugca",41.28,190,"","coniferous",0,0,0,3,0
"57",50755,100,180,"tsugca",36.8,194,"","coniferous",0,0,0,5,0
"58",50791,101,181,"pinust",39.06,194,"","coniferous",0,0,0,1,0
"59",50856,104,184,"pinust",60.12,200,"","coniferous",0,0,0,2,0
"60",50921,105,185,"pinust",56.45,200,"","coniferous",0,0,1,1,0
"61",50988,107,187,"acerru",30,200,"","deciduous",0,0,0,1,0
"62",60087,108,201,"querru",24.87,184,"","deciduous",1,0,0,2,0
"63",60161,109,202,"querru",12.13,184,"","deciduous",1,0,0,1,0
"64",60183,110,203,"acerru",15.45,184,"dead","deciduous",0,0,0,5,0
"65",60224,111,204,"pinust",11.33,184,"","coniferous",0,0,0,1,0
"66",60828,113,206,"tsugca",46.99,194,"dead","coniferous",0,0,0,3,0
"67",60880,114,207,"pinust",61.37,194,"","coniferous",0,0,0,3,0
"68",60967,115,208,"pinust",54.21,200,"","coniferous",0,0,0,1,1
"69",61080,117,210,"tsugca",35.42,200,"","coniferous",0,0,0,1,0
"70",70376,118,237,"acerru",26.35,190,"","deciduous",0,0,0,3,0
"71",70379,119,238,"acerru",15.18,190,"","deciduous",0,0,0,2,0
"72",70486,120,239,"acerru",23.53,190,"","deciduous",0,0,0,1,0
"73",70494,121,240,"pinust",23.93,190,"","coniferous",0,0,0,1,0
"74",70526,123,242,"pinust",24.09,190,"dead","coniferous",0,0,0,2,0
"75",70534,124,243,"pinust",28.26,190,"","coniferous",0,0,0,2,0
"76",70550,125,244,"tsugca",14.69,190,"","coniferous",0,0,0,2,0
"77",70644,126,245,"acerru",20,192,"","deciduous",0,0,0,3,0
"78",70672,127,246,"tsugca",22.06,193,"","coniferous",0,0,0,1,0
"79",70677,128,247,"pinust",10.87,193,"","coniferous",0,0,0,2,0
"80",70762,130,249,"tsugca",31.69,192,"","coniferous",0,0,0,2,0
"81",70947,135,254,"tsugca",43.53,200,"","coniferous",0,0,0,1,0
"82",70981,136,255,"tsugca",22.93,200,"","coniferous",0,0,0,3,0
"83",80465,139,286,"tsugca",11.34,191,"","coniferous",0,0,0,2,0
"84",80570,140,287,"tsugca",26.12,191,"","coniferous",0,0,0,1,0
"85",80571,141,288,"pinust",48.1,191,"dead","coniferous",0,0,0,1,0
"86",80572,142,289,"tsugca",19,191,"","coniferous",0,0,0,3,0
"87",80580,143,290,"pinust",60.02,191,"","coniferous",0,0,0,2,0
"88",80636,145,292,"acerru",39.69,193,"","deciduous",0,0,0,1,0
"89",80663,147,294,"acerru",24.77,193,"","deciduous",0,0,0,5,0
"90",80685,149,296,"pinust",28.11,193,"","coniferous",0,0,0,4,0
"91",80789,151,298,"tsugca",27.01,200,"","coniferous",0,0,0,1,0
"92",80802,152,299,"tsugca",22.14,200,"","coniferous",1,0,0,2,0
"93",80892,153,300,"pinust",41.27,200,"","coniferous",0,0,0,1,0
"94",80936,156,303,"tsugca",39.12,200,"","coniferous",0,0,0,1,0
"95",80953,157,304,"tsugca",25.12,200,"","coniferous",0,0,0,1,0
"96",80990,158,305,"tsugca",36.37,200,"","coniferous",0,0,0,2,0
"97",90001,159,334,"acerru",17.21,184,"","deciduous",0,0,0,3,0
"98",90508,160,335,"pinust",52.01,191,"","coniferous",1,0,0,2,0
"99",90517,161,336,"acerru",25.1,191,"","deciduous",0,0,0,4,0
"100",90536,162,337,"acerru",21.11,191,"","deciduous",0,0,0,1,1
"101",90553,163,338,"pinust",14.22,191,"","coniferous",0,0,0,4,0
"102",90623,164,339,"pinust",41.41,193,"","coniferous",0,0,0,1,0
"103",90631,165,340,"acerru",17.95,194,"","deciduous",0,0,0,2,0
"104",90634,166,341,"tsugca",38.92,194,"","coniferous",0,0,0,2,0
"105",90638,167,342,"pinust",31.43,193,"","coniferous",0,0,1,1,0
"106",90644,168,343,"tsugca",12.58,194,"","coniferous",0,0,0,1,0
"107",90738,170,345,"tsugca",37.71,201,"","coniferous",0,0,0,1,0
"108",90754,171,346,"tsugca",31.38,201,"","coniferous",0,0,0,2,0
"109",90795,174,349,"acerru",34.58,200,"","deciduous",0,0,0,3,0
"110",90842,177,352,"tsugca",32.45,200,"","coniferous",0,0,0,1,0
"111",90856,178,353,"tsugca",25.99,200,"","coniferous",0,0,0,2,0
"112",90872,179,354,"acerru",30.39,200,"","deciduous",0,0,0,2,0
"113",100602,181,377,"tsugca",19.86,191,"","coniferous",0,0,0,3,1
"114",100789,185,381,"tsugca",28.44,194,"","coniferous",0,1,1,1,0
"115",100854,186,382,"acerru",13.61,194,"","deciduous",0,0,0,1,0
"116",100909,188,384,"pinust",54.78,194,"","coniferous",0,0,0,2,0
"117",100947,189,385,"tsugca",39.21,201,"","coniferous",1,0,0,0,0
"118",100965,190,386,"pinust",30.04,201,"","coniferous",0,0,0,2,0
"119",110114,192,424,"pinust",34.05,184,"","coniferous",0,0,0,3,0
"120",110795,194,426,"querru",24.74,201,"","deciduous",0,0,0,1,0
"121",120120,198,445,"pinust",51.98,184,"verify from [] data!","coniferous",3,0,0,1,0
"122",120371,199,446,"querru",40.1,191,"","deciduous",0,0,0,1,0
"123",120820,202,449,"querru",21.18,201,"","deciduous",0,0,0,1,0
"124",130309,208,475,"querru",38.77,191,"","deciduous",0,0,0,2,0
"125",130386,209,476,"querru",37.24,191,"","deciduous",2,0,1,2,0
"126",130539,210,477,"acerru",11.63,194,"","deciduous",0,0,0,1,0
"127",130622,211,478,"querru",23.92,194,"","deciduous",1,0,0,2,0
"128",130710,213,480,"pinust",21.36,201,"","coniferous",1,0,0,1,0
"129",140380,217,491,"acerru",15.29,191,"","deciduous",0,0,0,1,0
"130",140635,218,492,"querru",18.59,194,"","deciduous",0,0,0,4,0
"131",150221,221,505,"pinust",22.58,184,"verify from [] data!","coniferous",1,0,0,2,0
"132",150231,222,506,"querru",23.97,184,"dead","deciduous",1,0,0,0,0
"133",150406,223,507,"tsugca",20.06,191,"","coniferous",0,0,0,4,0
"134",150799,224,508,"pinust",12.59,194,"","coniferous",0,0,0,2,0
"135",150800,225,509,"querru",12.61,194,"dead","deciduous",0,0,0,1,0
"136",150844,226,510,"querru",25.35,194,"dead","deciduous",0,0,0,2,0
"137",151080,229,513,"querru",36.32,201,"","deciduous",0,0,0,3,0
"138",151141,230,514,"querru",19.22,201,"","deciduous",0,0,0,1,0
"139",170652,235,536,"querru",19.69,185,"","deciduous",2,0,0,1,0
"140",171399,238,539,"querru",20.07,204,"dead","deciduous",0,0,0,3,0
"141",171424,239,540,"querru",32.97,204,"","deciduous",0,0,0,1,0
"142",171452,240,541,"querru",38.23,204,"","deciduous",0,0,0,1,0
"143",180147,242,552,"querru",13.72,185,"","deciduous",0,0,0,1,1
"144",180190,243,553,"querru",14.46,185,"","deciduous",1,0,0,1,0
"145",180701,244,554,"querru",25.01,191,"","deciduous",0,0,0,1,0
"146",180841,245,555,"querru",29.14,194,"","deciduous",1,0,0,5,0
"147",190135,246,560,"querru",23.61,185,"","deciduous",0,0,0,4,0
"148",190155,247,561,"querru",23.6,185,"","deciduous",4,0,0,2,0
"149",190218,248,562,"acerru",14.76,185,"","deciduous",1,0,0,3,0
"150",190236,249,563,"querru",29.01,185,"","deciduous",0,0,0,2,0
"151",190354,250,564,"querru",25.12,191,"","deciduous",0,0,0,2,0
"152",190508,251,565,"querru",25.68,194,"","deciduous",0,0,0,5,0
"153",190524,252,566,"querru",62.37,194,"","deciduous",0,0,0,1,0
"154",190586,253,567,"pinust",31.24,194,"","coniferous",0,0,0,4,0
"155",200112,255,577,"querru",32.73,185,"","deciduous",0,0,0,2,0
"156",200263,256,578,"querru",44.78,191,"","deciduous",0,0,0,1,0
"157",200385,257,579,"acerru",17.72,191,"","deciduous",0,0,0,1,0
"158",200565,259,581,"querru",18.13,194,"","deciduous",2,0,0,4,0
"159",210025,260,586,"querru",37.79,185,"","deciduous",0,0,0,3,0
"160",210070,261,587,"querru",50.33,185,"","deciduous",1,0,0,7,0
"161",210107,262,588,"querru",23.05,185,"","deciduous",0,0,0,2,0
"162",220165,265,595,"querru",21.39,185,"","deciduous",0,0,0,1,0
"163",220306,267,597,"querru",42.29,191,"","deciduous",0,0,0,2,0
"164",220323,268,598,"querru",28.59,191,"","deciduous",0,0,0,2,0
"165",230112,269,606,"querru",25.89,185,"","deciduous",0,0,0,1,0
"166",230398,271,608,"querru",31,191,"unfinished","deciduous",1,2,0,3,0
"167",230560,272,609,"querru",46.62,194,"","deciduous",1,5,0,3,0
"168",230563,273,610,"querru",43.51,194,"","deciduous",0,1,0,1,0
"169",240404,275,625,"querru",32.44,191,"","deciduous",0,3,0,4,0
"170",240712,276,626,"acerru",28.16,194,"","deciduous",0,0,0,4,0
"171",240745,278,628,"querru",22.1,194,"","deciduous",1,0,0,1,0
"172",260632,279,641,"acerru",30.51,197,"","deciduous",1,2,0,1,1
"173",270084,280,650,"querru",72.27,185,"","deciduous",0,0,0,2,2
"174",270416,281,651,"querru",33.5,192,"","deciduous",1,1,0,2,0
"175",270492,282,652,"acerru",22.43,192,"","deciduous",1,0,0,1,0
"176",270638,284,654,"pinust",21.23,192,"","coniferous",1,1,0,1,0
"177",280429,289,671,"querru",40.59,192,"","deciduous",1,2,0,2,0
"178",280807,290,672,"acerru",11.92,197,"","deciduous",0,0,0,2,0
"179",280816,291,673,"querru",39.48,197,"","deciduous",0,0,0,2,0
"180",290036,292,686,"querru",71.63,185,"","deciduous",0,0,2,1,0
"181",290742,293,687,"tsugca",11.94,197,"","coniferous",0,0,0,1,0
"182",291296,296,690,"acerru",13.93,204,"dead","deciduous",1,0,0,1,0
"183",300674,298,704,"acerru",30.92,197,"","deciduous",0,0,0,1,0
"184",300898,299,705,"pinust",31.79,197,"","coniferous",0,0,0,1,0
"185",301129,300,706,"tsugca",13.41,204,"dead","coniferous",0,0,0,1,0
"186",301148,302,708,"pinust",19.82,204,"dead","coniferous",0,0,0,2,0
"187",301161,303,709,"querru",31.23,204,"","deciduous",0,0,0,1,0
"188",310238,304,721,"querru",41.1,185,"","deciduous",1,0,0,1,0
"189",310623,305,722,"querru",43.64,192,"","deciduous",1,0,1,1,0
"190",310700,306,723,"pinust",54.43,192,"","coniferous",1,0,0,2,0
"191",320485,309,739,"querru",62.74,185,"","deciduous",1,0,1,2,0
"192",321440,310,740,"acerru",16.03,212,"","deciduous",0,0,0,1,0
"193",330011,311,761,"querru",38.83,185,"","deciduous",0,0,0,6,0
"194",330179,312,762,"querru",32.41,185,"","deciduous",1,0,0,3,0
"195",330204,313,763,"querru",47.72,185,"","deciduous",2,1,0,3,0
"196",330347,314,764,"querru",34.3,185,"","deciduous",2,0,0,3,0
"197",330351,315,765,"querru",26.32,185,"","deciduous",0,0,0,2,0
"198",330680,316,766,"acerru",23.52,192,"","deciduous",1,0,0,1,0
"199",330993,317,767,"querru",39.93,197,"","deciduous",1,0,0,1,0
"200",331159,318,768,"tsugca",14.97,212,"","coniferous",0,0,0,1,0
"201",331236,319,769,"querru",45.5,212,"","deciduous",0,0,0,1,0
"202",340244,321,790,"querru",29.64,185,"","deciduous",1,0,1,3,0
"203",340309,322,791,"querru",50.3,185,"","deciduous",2,0,0,3,0
"204",340419,323,792,"querru",28.57,192,"","deciduous",1,0,0,2,0
"205",340591,324,793,"querru",38.78,192,"","deciduous",2,0,0,2,1
"206",350384,326,810,"querru",44.9,185,"","deciduous",1,0,0,1,0
"207",350816,327,811,"acerru",16.82,197,"","deciduous",0,0,0,2,0
"208",350903,328,812,"querru",48.2,197,"","deciduous",0,0,0,1,0
