Tree.ID,alienus,americana,fulva,herculeanus,impar,longispinosis,nearcticus,neogagates,novaeboracensis,noveboracensis,pennsylvanicus,picea,punctiventris
10274,0,0,0,0,0,0,0,0,0,0,0,1,0
10441,0,0,0,0,0,0,0,0,0,0,1,1,0
10443,0,0,2,0,0,0,0,0,0,0,0,1,0
10453,0,0,3,0,0,1,0,0,0,0,0,1,0
10470,0,0,1,0,0,0,0,0,0,0,0,0,0
10476,0,0,0,0,0,0,0,0,0,0,1,5,0
10559,0,0,2,0,0,0,0,0,0,0,0,1,0
10560,0,0,1,0,0,0,0,0,0,0,0,0,0
10587,0,0,1,0,0,0,0,0,0,0,0,0,0
10601,0,0,0,0,0,1,0,0,0,0,0,1,0
10677,0,0,0,0,0,0,0,0,0,0,0,1,0
10686,0,0,0,0,0,0,0,0,0,0,0,1,0
20121,0,0,0,0,0,0,0,0,0,0,0,2,0
20208,0,0,0,0,0,0,0,0,0,0,0,2,0
20256,0,0,2,0,0,0,0,0,0,0,0,1,0
20289,0,0,0,0,0,0,0,0,0,0,0,1,0
20479,0,0,0,0,0,0,0,0,0,0,0,1,0
20574,0,0,0,0,0,0,0,0,0,0,1,0,0
20782,0,0,0,0,0,0,0,0,0,0,0,1,0
20841,0,0,0,0,0,0,0,0,0,0,0,1,0
20994,0,0,0,0,0,0,1,0,0,1,0,0,0
30017,0,0,1,0,0,0,0,0,0,0,0,0,0
30094,0,0,2,0,0,0,0,0,0,0,0,0,0
30145,0,0,0,0,0,0,0,0,0,0,0,1,0
30376,0,0,1,0,0,0,0,0,0,0,0,0,0
30419,0,0,0,0,0,1,0,0,0,0,0,1,0
30698,0,0,0,0,0,0,0,0,0,0,0,2,0
30822,0,0,0,0,0,0,0,0,0,0,0,1,0
30944,0,1,0,0,0,0,0,0,0,0,0,0,0
30990,0,0,0,0,0,2,0,0,0,0,0,0,0
30995,0,0,0,0,0,0,0,0,0,0,0,1,0
31016,0,0,1,0,0,0,0,0,0,0,0,1,0
31025,0,0,0,0,0,0,0,0,0,0,0,1,0
31032,0,0,1,0,0,0,0,0,0,0,0,0,0
31134,0,0,0,0,0,0,0,0,0,0,0,1,0
40005,0,0,1,0,0,0,0,0,0,0,0,2,0
40166,0,0,1,0,0,0,0,0,0,0,0,0,0
40170,0,0,2,0,0,1,0,0,0,0,0,1,0
40176,0,0,0,0,0,0,0,0,0,0,0,1,0
40178,0,0,0,0,0,1,0,0,0,0,0,1,0
40651,0,0,0,0,0,0,0,0,0,0,0,2,0
40694,0,0,0,0,0,0,0,0,0,0,0,1,0
40710,0,0,0,0,0,0,0,0,0,0,0,1,0
40746,0,0,1,0,0,0,0,0,0,0,0,0,0
40854,0,0,0,0,0,0,0,0,0,0,0,1,0
40880,0,0,1,0,0,0,0,0,0,0,0,0,0
40905,0,0,0,0,0,0,0,0,0,0,0,1,0
40923,0,0,0,0,0,0,0,0,0,0,1,0,0
40946,0,0,0,0,0,0,0,0,0,0,0,1,0
50135,0,0,1,0,0,0,0,0,0,0,0,2,0
50189,0,0,1,0,0,0,0,0,0,0,0,0,0
50269,0,0,1,0,0,0,0,0,0,0,0,0,0
50409,0,0,1,0,0,0,0,0,0,0,0,5,0
50617,0,0,0,0,0,0,0,0,0,0,0,1,0
50666,0,0,0,0,0,0,0,0,0,0,0,1,0
50706,0,0,0,0,0,0,0,0,0,0,0,3,0
50755,0,0,2,0,0,0,0,0,0,0,0,3,0
50791,0,0,0,0,0,0,0,0,0,0,0,1,0
50856,0,0,1,0,0,0,0,0,0,0,0,1,0
50921,0,0,1,0,0,0,0,0,0,0,1,0,0
50988,0,0,1,0,0,0,0,0,0,0,0,0,0
60087,0,0,0,0,0,1,0,0,0,0,0,2,0
60161,0,0,0,0,0,1,0,0,0,0,0,1,0
60183,0,0,1,0,0,0,0,0,0,0,0,4,0
60224,0,0,1,0,0,0,0,0,0,0,0,0,0
60828,0,0,0,0,0,0,0,0,0,0,0,3,0
60880,0,0,1,0,0,0,0,0,0,0,0,2,0
60967,0,0,0,0,1,0,0,0,0,0,0,1,0
61080,0,0,0,0,0,0,0,0,0,0,0,1,0
70376,0,0,0,0,0,0,0,0,0,0,0,3,0
70379,0,0,0,0,0,0,0,0,0,0,0,2,0
70486,0,0,0,0,0,0,0,0,0,0,0,1,0
70494,0,0,0,0,0,0,0,0,0,0,0,1,0
70526,0,0,0,0,0,0,0,0,0,0,0,2,0
70534,0,0,0,0,0,0,0,0,0,0,0,2,0
70550,0,0,0,0,0,0,0,0,0,0,0,2,0
70644,0,0,1,0,0,0,0,0,0,0,0,2,0
70672,0,0,0,0,0,0,0,0,0,0,0,1,0
70677,0,0,1,0,0,0,0,0,0,0,0,1,0
70762,0,0,1,0,0,0,0,0,0,0,0,1,0
70947,0,0,1,0,0,0,0,0,0,0,0,0,0
70981,0,0,2,0,0,0,0,0,0,0,0,1,0
80465,0,0,0,0,0,0,0,0,0,0,0,2,0
80570,0,0,0,0,0,0,0,0,0,0,0,1,0
80571,0,0,0,0,0,0,0,0,0,0,0,1,0
80572,0,0,1,0,0,0,0,0,0,0,0,2,0
80580,0,0,0,0,0,0,0,0,0,0,0,2,0
80636,0,0,0,0,0,0,0,0,0,0,0,1,0
80663,0,0,3,0,0,0,0,0,0,0,0,2,0
80685,0,0,2,0,0,0,0,0,0,0,0,2,0
80789,0,0,0,0,0,0,0,0,0,0,0,1,0
80802,0,0,2,0,0,0,0,0,0,0,0,0,0
80892,0,0,1,0,0,0,0,0,0,0,0,0,0
80936,0,0,0,0,0,0,0,0,0,0,0,1,0
80953,0,0,0,0,0,0,0,0,0,0,0,1,0
80990,0,0,0,0,0,0,0,0,0,0,0,2,0
90001,0,0,0,0,0,0,0,0,0,0,0,3,0
90508,0,0,0,0,0,0,0,0,0,0,0,2,0
90517,0,0,1,0,0,0,0,0,0,0,0,3,0
90536,0,0,0,0,1,0,0,0,0,0,0,1,0
90553,0,0,2,0,0,0,0,0,0,0,0,2,0
